GEOID,NAME,Total,Male: Total,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: Total,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
37,North Carolina,6312148,3082919,143370,155727,170638,106449,77694,41664,41535,112245,190053,192185,185146,180469,201691,214854,231109,91637,131745,84791,116862,176198,117136,67662,52059,3229229,135824,148550,161356,100601,73977,39110,38564,106128,188324,194827,189314,185579,204965,219254,243021,98836,145493,94718,132968,201988,140561,90939,94332
38,North Dakota,636160,324451,19014,19562,18944,10595,9023,5237,5162,14064,22989,23451,22707,19314,17510,17965,21757,9287,13312,8336,11304,14021,9112,5894,5891,311709,18057,18937,17959,9939,8547,4622,4545,12484,20423,20797,20378,17055,15987,16887,20922,9172,13174,8358,10739,14231,10206,7865,10425
39,Ohio,8954135,4403229,222616,243099,261830,163175,115815,60796,60236,162406,270685,275569,271527,258602,270124,292074,325885,133876,195509,121029,162661,223949,143163,90720,77883,4550906,212906,230256,247995,153366,111867,59987,59592,156320,263761,270176,269529,257165,269930,294937,336465,140655,207121,130115,177496,255342,177986,125592,142347
40,Oklahoma,2407188,1187205,55779,63332,68248,41018,29377,16039,16175,43043,72536,76136,79526,72707,71924,73723,86029,35974,51529,33454,44319,63641,43613,27100,21983,1219983,52825,59572,64180,38380,28382,15258,15061,40522,69676,75363,77839,71147,71465,73782,89295,37782,55607,35970,48860,71979,53061,36234,37743
41,Oregon,3036158,1499838,64364,74124,78137,46308,31581,17157,16805,49296,95207,104921,105341,97844,93463,93644,101572,42636,65149,44592,63650,91247,59256,34744,28800,1536320,61259,69474,73035,43182,31439,17359,16413,48298,92632,101238,102726,95279,89653,93296,105905,46351,71692,49422,70248,100765,67778,42038,46838
42,Pennsylvania,9553417,4688087,212674,234065,252886,158207,116183,64419,63862,163282,281946,294740,284769,264109,281263,319781,363027,151192,221403,138627,186706,257871,169741,107725,99609,4865330,201974,221738,238894,148969,117372,63922,60798,159000,273079,287440,279864,261371,280053,323047,373271,158269,232344,147120,201134,291202,209069,148855,186545
44,Rhode Island,754050,364582,13495,15126,17075,11503,10759,5777,5217,12884,22251,23262,22081,19821,21620,26019,30204,12506,18127,11286,14674,20967,13522,8233,8173,389468,12939,14442,16167,10868,11352,6162,5162,12587,21721,22947,21763,20552,22395,27832,32658,13437,19573,12462,16375,23785,16758,11513,16018
45,South Carolina,3178552,1550708,74051,80900,86450,53110,41303,21350,19904,53478,89287,91757,90893,88186,96660,102351,113344,45866,67289,44288,63104,99086,65683,36354,26014,1627844,69868,77419,82762,50017,39529,21201,20160,53127,91382,94026,93817,89955,97695,105214,120662,49618,75547,49934,71969,110125,74850,45348,43619
46,South Dakota,705583,353280,19923,21458,22470,12801,8969,4888,4610,12667,20870,21828,23442,20956,19106,20177,24868,10495,15566,10165,13888,18202,11568,7446,6917,352303,18951,20533,21303,12063,8763,4523,4385,11702,19722,21190,21754,20061,18557,19617,24929,10778,15817,10137,13869,18460,13030,9521,12638
47,Tennessee,4900246,2396593,123004,131795,141432,86594,60584,31513,30386,87559,153589,152272,149016,144593,155155,161405,173984,68926,98529,63382,85737,127263,84967,49208,35700,2503653,116261,125789,134569,82506,59508,31646,30594,89338,155565,154800,151093,145663,155991,163675,183296,73461,107799,69393,95676,144308,100820,66436,65466
48,Texas,11584597,5751313,275660,304719,323256,196792,134523,70970,68563,202769,362766,388916,390883,356431,363824,375289,424470,175306,248272,156693,209617,302469,201889,119885,97351,5833284,263413,290601,306112,186051,128714,67761,65660,194392,349346,378347,379381,347422,355976,370829,428948,178417,259365,167106,226747,333368,235758,155049,164521
49,Utah,2465355,1237393,85365,96385,102571,59467,36601,19408,20552,60167,90002,84090,87653,84528,68501,60049,61533,25173,36851,23435,30967,42787,28705,17752,14851,1227962,80787,90594,95636,56550,39435,19458,20064,56841,84851,81707,85435,82842,66908,58913,63066,26457,38226,24699,33297,46545,32821,21708,21122
50,Vermont,573201,282687,12066,14138,15236,9558,7873,4511,4027,9577,16265,17482,17125,15931,16743,18931,21979,9166,13605,8746,11815,16435,10539,5908,5031,290514,11628,13166,14361,8902,7941,4045,3979,9158,15904,17515,17240,16249,16698,19289,23260,9598,14307,9213,12468,17593,11941,7501,8558
51,Virginia,5058363,2493843,119226,129942,137778,85998,63773,34473,33485,94471,159484,162542,160187,147610,155906,169612,190724,74392,105611,65628,88363,131199,88263,52459,42717,2564520,112914,122680,131069,81777,60369,31779,31333,89111,154137,161432,159964,148399,156645,172584,195524,78162,112188,71310,97392,148249,104742,68396,74364
53,Washington,4918820,2452670,112196,124613,128498,76445,52648,28347,27879,84688,163949,177529,174903,155638,150448,160778,177166,72604,106864,69001,94288,133740,87253,50670,42525,2466150,107350,117475,121544,72195,49935,26345,25279,78108,153083,167760,166514,149894,145776,158290,180155,75463,112813,74748,102922,147996,99699,62845,69961
